msa_id,NAME,type,estimate,count,percap
43300,"Sherman-Denison, TX",Metro Area,126146,28,2.22
29620,"Lansing-East Lansing, MI",Metro Area,472092,47,1
38220,"Pine Bluff, AR",Metro Area,93590,32,3.42
34900,"Napa, CA",Metro Area,141005,1,0.07
43100,"Sheboygan, WI",Metro Area,115094,3,0.26
26980,"Iowa City, IA",Metro Area,166520,8,0.48
41660,"San Angelo, TX",Metro Area,118498,23,1.94
37340,"Palm Bay-Melbourne-Titusville, FL",Metro Area,568183,68,1.2
31540,"Madison, WI",Metro Area,640072,30,0.47
34740,"Muskegon, MI",Metro Area,172707,31,1.79
30700,"Lincoln, NE",Metro Area,323402,17,0.53
15500,"Burlington, NC",Metro Area,157844,33,2.09
29200,"Lafayette-West Lafayette, IN",Metro Area,214760,22,1.02
14010,"Bloomington, IL",Metro Area,189407,18,0.95
18880,"Crestview-Fort Walton Beach-Destin, FL",Metro Area,261048,40,1.53
28660,"Killeen-Temple, TX",Metro Area,432797,70,1.62
47940,"Waterloo-Cedar Falls, IA",Metro Area,170055,24,1.41
44220,"Springfield, OH",Metro Area,135520,20,1.48
22540,"Fond du Lac, WI",Metro Area,102082,11,1.08
28100,"Kankakee, IL",Metro Area,110801,16,1.44
25500,"Harrisonburg, VA",Metro Area,131717,22,1.67
29940,"Lawrence, KS",Metro Area,117806,6,0.51
21140,"Elkhart-Goshen, IN",Metro Area,202924,28,1.38
32580,"McAllen-Edinburg-Mission, TX",Metro Area,839539,124,1.48
33140,"Michigan City-La Porte, IN",Metro Area,110839,17,1.53
44180,"Springfield, MO",Metro Area,455133,58,1.27
18700,"Corvallis, OR",Metro Area,88249,3,0.34
39460,"Punta Gorda, FL",Metro Area,173236,14,0.81
39540,"Racine, WI",Metro Area,195101,11,0.56
25260,"Hanford-Corcoran, CA",Metro Area,150183,9,0.6
27100,"Jackson, MI",Metro Area,158989,29,1.82
31900,"Mansfield, OH",Metro Area,121533,22,1.81
16180,"Carson City, NV",Metro Area,54219,2,0.37
16940,"Cheyenne, WY",Metro Area,97031,6,0.62
36220,"Odessa, TX",Metro Area,155744,30,1.93
21300,"Elmira, NY",Metro Area,86883,17,1.96
29020,"Kokomo, IN",Metro Area,82457,13,1.58
46340,"Tyler, TX",Metro Area,222277,41,1.84
31860,"Mankato-North Mankato, MN",Metro Area,99244,7,0.71
25620,"Hattiesburg, MS",Metro Area,148399,44,2.96
42220,"Santa Rosa, CA",Metro Area,500943,11,0.22
19500,"Decatur, IL",Metro Area,107587,19,1.77
45460,"Terre Haute, IN",Metro Area,170642,37,2.17
37900,"Peoria, IL",Metro Area,377258,60,1.59
22500,"Florence, SC",Metro Area,206109,58,2.81
16300,"Cedar Rapids, IA",Metro Area,266122,21,0.79
10740,"Albuquerque, NM",Metro Area,905049,81,0.89
33260,"Midland, TX",Metro Area,165430,22,1.33
19380,"Dayton, OH",Metro Area,800893,100,1.25
27860,"Jonesboro, AR",Metro Area,128344,30,2.34
29740,"Las Cruces, NM",Metro Area,213849,29,1.36
49020,"Winchester, VA-WV",Metro Area,134712,22,1.63
43620,"Sioux Falls, SD",Metro Area,250564,20,0.8
12260,"Augusta-Richmond County, GA-SC",Metro Area,589519,123,2.09
20500,"Durham-Chapel Hill, NC",Metro Area,550281,45,0.82
29340,"Lake Charles, LA",Metro Area,205559,51,2.48
22900,"Fort Smith, AR-OK",Metro Area,280705,67,2.39
26820,"Idaho Falls, ID",Metro Area,140427,7,0.5
49180,"Winston-Salem, NC",Metro Area,658195,98,1.49
17660,"Coeur d'Alene, ID",Metro Area,150128,3,0.2
29100,"La Crosse-Onalaska, WI-MN",Metro Area,136291,6,0.44
45500,"Texarkana, TX-AR",Metro Area,149889,45,3
21780,"Evansville, IN-KY",Metro Area,315263,49,1.55
31180,"Lubbock, TX",Metro Area,309722,50,1.61
17900,"Columbia, SC",Metro Area,808377,124,1.53
24660,"Greensboro-High Point, NC",Metro Area,751590,107,1.42
45780,"Toledo, OH",Metro Area,605204,75,1.24
27140,"Jackson, MS",Metro Area,578565,120,2.07
25940,"Hilton Head Island-Bluffton-Beaufort, SC",Metro Area,206781,28,1.35
42540,"Scranton--Wilkes-Barre--Hazleton, PA",Metro Area,557942,74,1.33
47580,"Warner Robins, GA",Metro Area,188764,42,2.23
33700,"Modesto, CA",Metro Area,535684,33,0.62
36100,"Ocala, FL",Metro Area,343778,71,2.07
14740,"Bremerton-Silverdale, WA",Metro Area,258903,4,0.15
